R,G,B,Plant Height,Type,Plant,Total Hours
66.66,0,33.33,-8.905,3,Brassica napus,180
66.66,0,33.33,-13.624,3,Brassica napus,180
66.66,0,33.33,-27.605,3,Brassica napus,180
100,0,0,-40.828,1,vanilla,960
0,0,100,-36.693,1,vanilla,960
50,0,50,14.285,1,vanilla,960
30,0,70,21.429,2,mini chal tomato,504
20,20,60,4.87,2,mini chal tomato,504
20,40,40,12.013,2,mini chal tomato,504
93,0,7,-9.524,3,Basil,480
70,0,30,-7.143,3,Basil,480
93,0,7,-6.818,3,Parsley,480
70,0,30,-11.364,3,Parsley,480
100,0,0,8.696,3,lettuce,800
0,0,100,6.957,3,lettuce,800
50,0,50,4.348,3,lettuce,800
75,0,25,12.444,3,Lettice green oak.,160
100,0,0,329.71,3,Chinese Cabbage,720
0,0,100,383.333,3,Chinese Cabbage,720
50,0,50,282.609,3,Chinese Cabbage,720
100,0,0,-15.94,3,Red Oakleaf,672
80,0,20,-21.3,3,Red Oakleaf,672
50,0,50,-27.12,3,Red Oakleaf,672
20,0,80,-27.51,3,Red Oakleaf,672
0,0,100,-12.74,3,Red Oakleaf,672
90,0,10,-19.7,3,lettuce,240
100,0,0,-25.95,2,potato,448
0,0,100,-21.35,2,potato,448
65,0,35,3.4,2,potato,448
45,20,35,7.44,2,potato,448
50,0,50,-8.52,3,lettuce,320
66,0,33,-7.94,2,tomato,1800
66,33,0,1.01,2,tomato,1800
66,0,33,15.43,2,tomato,1800
66,33,0,-2.98,2,tomato,1800
0,0,100,21.2,3,lettuce,672
100,0,0,-93.54,3,lettuce,672
0,0,100,53.37,1,Myrtus communis,1008
70,0,30,32.72,1,Myrtus communis,1008
100,0,0,23.37,1,Myrtus communis,1008
