R,G,B,Plant,Type,Fresh weight (g),FW(%),FW
88.88,0,11.11,Chinese Kale,3,44.9,14.834,1
66.66,0,33.33,Chinese Kale,3,37,-5.371,0
0,0,100,Lettuce ,3,3.4,-93.608,0
80,0,20,Lettuce ,3,32.7,-38.522,0
88.88,0,11.11,Lettuce ,3,73.78,38.710,1
92.3,0,7.7,Lettuce ,3,64.14,20.587,1
0,0,100,Lettuce ,3,66.08,24.234,1
0,0,100,Lettuce ,3,13.62,-63.757,0
80,0,20,Lettuce ,3,82.78,120.277,1
88.88,0,11.11,Lettuce ,3,118.04,214.103,1
92.3,0,7.7,Lettuce ,3,103.86,176.370,1
100,0,0,Lettuce ,3,66.33,76.503,1
66.66,0,33.33,Lettuce ,3,9.1,-37.241,0
75,0,25,Lettuce ,3,10,-31.034,0
80,0,20,Lettuce ,3,9.2,-36.552,0
88.88,0,11.11,Lettuce ,3,12.4,-14.483,0
100,0,0,Red Oakleaf,3,21.51,-15.944,0
80,0,20,Red Oakleaf,3,20.14,78.703,1
50,0,50,Red Oakleaf,3,18.65,-27.120,0
20,0,80,Red Oakleaf,3,18.55,-27.511,0
0,0,100,Red Oakleaf,3,22.33,-12.739,0
90,0,10,lettuce,3,36.93,-19.700,0
100,0,0,potato,2,0.2965,-25.949,0
0,0,100,potato,2,0.31491,-21.351,0
65,0,35,potato,2,0.414,3.397,1
45,20,35,potato,2,0.4302,7.443,1
50,0,50,lettuce,3,136.3,-8.523,0
66,0,33,tomato,2,26.55,-7.940,0
66,33,0,tomato,2,29.13,1.006,1
66,0,33,tomato,2,33.29,15.430,1
66,33,0,tomato,2,27.98,-2.982,0
0,0,100,lettuce,3,4.69,21.818,1
100,0,0,lettuce,3,0.2487,-93.540,0
0,0,100,Myrtus communis,1,0.2756,53.367,1
70,0,30,Myrtus communis,1,0.2385,32.721,1
100,0,0,Myrtus communis,1,0.2217,23.372,1
100,0,0,vanilla,1,1.4312,-40.828,0
0,0,100,vanilla,1,1.5312,-36.693,0
50,0,50,vanilla,1,2.7642,14.285,1
30,0,70,mini chal tomato,2,3.74,21.429,1
20,20,60,mini chal tomato,2,3.23,4.870,1
20,40,40,mini chal tomato,2,3.45,12.013,1
100,0,0,Chinese Cabbage,3,5.93,329.710,1
0,0,100,Chinese Cabbage,3,6.67,383.333,1
50,0,50,Chinese Cabbage,3,5.28,282.609,1
