R,G,B,Plant,Type,Fresh weight (g),Plant height (cm),FW(%),PH(%)
0,0,100,Lettuce ,3,3.4,,-93.608,
80,0,20,Lettuce ,3,32.7,,-38.522,
88.88,0,11.11,Lettuce ,3,73.78,,38.710,
92.3,0,7.7,Lettuce ,3,64.14,,20.587,
0,0,100,Lettuce ,3,66.08,,24.234,
0,0,100,Lettuce ,3,13.62,,-63.757,
80,0,20,Lettuce ,3,82.78,,120.277,
88.88,0,11.11,Lettuce ,3,118.04,,214.103,
92.3,0,7.7,Lettuce ,3,103.86,,176.370,
100,0,0,Lettuce ,3,66.33,,76.503,
66.66,0,33.33,Lettuce ,3,9.1,,-37.241,
75,0,25,Lettuce ,3,10,,-31.034,
80,0,20,Lettuce ,3,9.2,,-36.552,
88.88,0,11.11,Lettuce ,3,12.4,,-14.483,
90,0,10,lettuce,3,36.93,,-19.700,
50,0,50,lettuce,3,136.3,,-8.523,
0,0,100,lettuce,3,4.69,,21.818,
100,0,0,lettuce,3,0.2487,,-93.540,
100,0,,lettuce,3,,12.5,,8.696
0,0,100,lettuce,3,,12.3,,6.957
50,0,50,lettuce,3,,12,,4.348
