Fresh weight (g),Plant height (cm),Dry weight (g),Type
0,0,21.66,1
0,0,24.42,1
0,22,0.78,3
0,19.5,0.62,3
0,20,0.6,3
0,12.5,0.11,3
0,11,0.15,3
0,10,0.099,3
44.9,25.5,3.6,3
37,23.8,2.6,3
0,32,0,2
0,28,0,2
2.2,3.78,0.07,1
1.3,5.4,0.17,1
1,6.9,0.13,1
0.8,0,0.062,1
2.54,3.85,0.08,1
1.45,5.65,0.16,1
1.1,7.2,0.121,1
0.9,0,0.06,1
0,106.5,0,2
3.4,0,0.62,3
32.7,0,1.78,3
73.78,0,3.44,3
64.14,0,2.78,3
66.08,0,3.43,3
13.62,0,1.03,3
82.78,0,4.06,3
118.04,0,6.06,3
103.86,0,5.37,3
66.33,0,4.06,3
70.85,19.52,10.45,3
78.45,19.33,12.28,3
72.52,18.17,9.15,3
64.82,24.33,6.95,3
63.73,31.35,9.88,3
68.73,35.6,12.13,3
65.25,29.83,11.35,3
47.7,35.17,8.45,3
109.78,46.05,26.21,3
185.6,46.43,28.11,3
189.95,47.38,29.71,3
85.45,51.63,19.76,3
41.2,45.68,10.13,3
44.23,47.33,13.45,3
42.92,48.05,11.95,3
32.68,51.12,9.37,3
650.88,467.48,218.37,2
683.89,492.27,305.49,2
783.71,568.33,197.03,2
620.82,459.42,183.67,2
9.4,9.7,0.44,3
10.6,10.1,0.46,3
10.3,11,0.55,3
10.7,11.9,0.26,3
10.9,12.7,0.25,3
9.1,0,0.59,3
10,0,0.58,3
9.2,0,0.53,3
12.4,0,0.68,3
21.51,0,1.35,3
20.14,0,1.26,3
18.65,0,1.1,3
18.55,0,0.97,3
22.33,0,1.16,3
0,7.6,0,3
36.93,0,1.9,3
24.63,18.78,1.82,3
12.68,15,1.19,3
6.09,11.85,0.62,3
52.75,26.25,7.94,3
42.2,25.75,5.92,3
31.23,24.81,4.66,3
0.2965,11.2,0.0225,2
0.31491,3.03,0.03191,2
0.414,8.77,0.03598,2
0.4302,7.27,0.03663,2
0,25.73,0,3
0,28.93,0,3
0,25.44,0,3
0,29.75,0,3
0,19.05,0,3
0,18.79,0,3
0,20.53,0,3
136.3,0,7.02,3
26.55,76.66,2.57,2
29.13,114.33,2.21,2
33.29,69.67,3.36,2
27.98,119,2.39,2
0,3.925,0.043,1
0,3.375,0.035,1
0,3.5,0.059,1
0,3.8,0.059,1
0,2.675,0.026,1
0,3.35,0.046,1
18.54,0,22.24,3
0,0,0,3
0,12.4,0,2
0,10.8,0,2
0,12,0,2
0,11.6,0,2
0,8.92,0,2
0,7.48,0,2
0,8.72,0,2
0,7,0,2
4.69,0,0.1593,3
0.2487,0,0.0157,3
0.2756,0,0.04291,1
0.2385,0,0.03889,1
0.2217,0,0.04084,1
0,26.86,0,3
0,20.47,0,3
0,19.28,0,3
0,20.72,0,3
1.8,11,0.18,2
3,14.7,0.3,2
2,12,0.2,2
2.1,11,0.2,2
0,10.23,1.22,3
0,9.7,0.93,3
0,8.13,0.13,3
0,22,0,3
0,25,0,3
0,22,0,3
0,23,0,3
0,20,0,3
0,20,0,3
0,29,0,3
0,20.5,0,3
1.4312,4.4,0.1256,1
1.5312,3.2,0.1343,1
2.7642,4.1,0.2758,1
3.74,12,0.27,2
3.23,13,0.22,2
3.45,15,0.21,2
0,4.494,0,2
0,3.058,0,2
0,19,0,3
0,19.5,0,3
0,24.5,0,3
0,24.5,0,3
0,20.5,0,3
0,19.5,0,3
0,12.5,2,3
0,12.3,3.9,3
0,12,2.35,3
0,7.5,0,3
83.03,26.413,3.75,3
61.71,21.063,2.96,3
74.66,22.765,3.04,3
41.54,17.4,3.95,3
58.74,25.6,5.17,3
56.58,24.27,5.41,3
43.33,19.13,4.2,3
5.93,0,0.73,3
6.67,0,0.49,3
5.28,0,0.53,3
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
